epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.983,1.38959,1.36573,1.10285,0.6595,0.52043,0.58234,0.35999,1.35857,1.56884,1.19457,0.00066443,0.00066443,0.00066443
2,302.782,1.38102,1.25953,1.13939,0.61258,0.50808,0.54309,0.34357,1.35044,2.07726,1.16579,0.00131792,0.00131792,0.00131792
3,454.318,1.3626,1.2534,1.14324,0.63842,0.52645,0.56086,0.34627,1.34025,1.52141,1.16028,0.00195821,0.00195821,0.00195821
4,605.619,1.34457,1.17752,1.12799,0.61326,0.52645,0.57747,0.36498,1.27421,1.42855,1.12105,0.0019406,0.0019406,0.0019406
5,756.779,1.28714,1.12308,1.10153,0.66821,0.58116,0.63023,0.41652,1.22397,1.23795,1.10624,0.0019208,0.0019208,0.0019208
6,907.909,1.24733,1.08089,1.08767,0.67855,0.55749,0.63427,0.41596,1.23693,1.16025,1.10321,0.001901,0.001901,0.001901
7,1058.92,1.21099,1.03041,1.0757,0.68799,0.58948,0.66259,0.4381,1.1936,1.09708,1.08916,0.0018812,0.0018812,0.0018812
8,1210.18,1.19167,0.98379,1.0601,0.71236,0.56763,0.65878,0.44484,1.15006,1.09747,1.07393,0.0018614,0.0018614,0.0018614
9,1361.21,1.16928,0.9725,1.05048,0.70846,0.60279,0.67804,0.4372,1.21492,1.07367,1.08426,0.0018416,0.0018416,0.0018416
10,1512.04,1.16963,0.96636,1.05081,0.73665,0.61102,0.69627,0.46122,1.17722,1.00245,1.07527,0.0018218,0.0018218,0.0018218
11,1663.21,1.13617,0.94897,1.0383,0.72231,0.60532,0.67765,0.46023,1.13055,1.08166,1.0533,0.001802,0.001802,0.001802
12,1814.06,1.12364,0.90799,1.02523,0.72659,0.61618,0.70556,0.47027,1.14347,0.98306,1.06642,0.0017822,0.0017822,0.0017822
13,1965.13,1.10444,0.89853,1.02179,0.71819,0.62643,0.70227,0.48154,1.10257,0.97645,1.04298,0.0017624,0.0017624,0.0017624
14,2116.08,1.10002,0.89232,1.01828,0.77243,0.61819,0.72985,0.49688,1.09388,0.95559,1.02807,0.0017426,0.0017426,0.0017426
15,2267,1.07181,0.86715,1.01132,0.73776,0.64696,0.72327,0.49752,1.09566,0.93628,1.03815,0.0017228,0.0017228,0.0017228
16,2417.8,1.0778,0.87197,1.0124,0.73361,0.656,0.72868,0.49319,1.11217,0.9355,1.05014,0.001703,0.001703,0.001703
17,2568.62,1.07883,0.86075,1.01168,0.73662,0.65442,0.73511,0.51358,1.05401,0.91897,1.01648,0.0016832,0.0016832,0.0016832
18,2719.7,1.06332,0.84215,1.0016,0.77281,0.63731,0.73711,0.50971,1.06501,0.90734,1.0257,0.0016634,0.0016634,0.0016634
19,2870.53,1.05344,0.84798,1.01082,0.71566,0.67469,0.74229,0.51614,1.05823,0.89808,1.02437,0.0016436,0.0016436,0.0016436
20,3021.58,1.04746,0.83696,1.00118,0.75381,0.64587,0.73729,0.5136,1.04617,0.9205,1.01601,0.0016238,0.0016238,0.0016238
21,3172.46,1.04109,0.83064,0.99631,0.74896,0.67665,0.75615,0.52587,1.05026,0.88147,1.01385,0.001604,0.001604,0.001604
22,3323.47,1.03345,0.80988,0.99255,0.7418,0.67723,0.75476,0.5312,1.02587,0.88573,1.01539,0.0015842,0.0015842,0.0015842
23,3474.44,1.03041,0.79918,0.99386,0.74625,0.68188,0.75805,0.53353,1.03864,0.86778,1.01998,0.0015644,0.0015644,0.0015644
24,3625.32,1.01401,0.7859,0.98552,0.77345,0.68134,0.76678,0.52865,1.0402,0.85533,1.0126,0.0015446,0.0015446,0.0015446
25,3776.11,1.00612,0.77724,0.97729,0.77416,0.66741,0.75788,0.52875,1.03132,0.8485,1.01684,0.0015248,0.0015248,0.0015248
26,3927.02,0.99642,0.76836,0.97953,0.75131,0.69379,0.76121,0.53163,1.01928,0.86441,1.01228,0.001505,0.001505,0.001505
27,4077.89,0.99384,0.77806,0.97641,0.77097,0.67818,0.76263,0.53687,1.02123,0.84647,1.00963,0.0014852,0.0014852,0.0014852
28,4228.8,0.99785,0.7804,0.97524,0.78036,0.68987,0.77268,0.54884,0.99217,0.82414,0.99702,0.0014654,0.0014654,0.0014654
29,4379.76,0.98689,0.75936,0.97018,0.7627,0.6937,0.77406,0.54385,1.03262,0.84462,1.01014,0.0014456,0.0014456,0.0014456
30,4530.62,0.98451,0.75667,0.97159,0.77992,0.67799,0.76736,0.54286,1.0062,0.82921,1.00409,0.0014258,0.0014258,0.0014258
31,4681.39,0.97873,0.74583,0.9742,0.76613,0.68799,0.77293,0.54994,1.00345,0.81813,1.00319,0.001406,0.001406,0.001406
32,4832.37,0.97326,0.73708,0.96713,0.76564,0.69718,0.77149,0.54938,0.98736,0.82375,0.99747,0.0013862,0.0013862,0.0013862
33,4983.27,0.96769,0.73763,0.97216,0.75745,0.69686,0.77156,0.54012,1.02883,0.82697,1.01267,0.0013664,0.0013664,0.0013664
34,5134.11,0.96203,0.72299,0.96147,0.75705,0.6937,0.77005,0.54515,0.9979,0.82954,0.99852,0.0013466,0.0013466,0.0013466
35,5284.95,0.96768,0.7296,0.96851,0.76638,0.70225,0.78197,0.55645,0.98348,0.80082,0.98784,0.0013268,0.0013268,0.0013268
36,5435.81,0.95393,0.71884,0.96222,0.76398,0.70133,0.77916,0.55322,0.99607,0.80174,1.00261,0.001307,0.001307,0.001307
